The column name description is given below:

    "Cluster": Name of the galaxy cluster
    "Region": Region of the cluster (Annulus or Core) which we study and within which we measure the temperatures. Annulus refers to 0.2-0.5 R500 and Core to <0.2 R500.
    "T_eRO_full": eROSITA temperature in the 0.7-7 keV (full) band (units: keV)
    "T_eRO_full_low": Lower 1σ uncertainty of T_eRO_full (units: keV)
    "T_eRO_full_high": Upper 1σ uncertainty of T_eRO_full (units: keV)
    "T_CXO_XMM_full": Chandra or XMM-Newton temperature (depends on the used instrument, see last column) in the 0.7-7 keV band (units: keV)
    "T_CXO_XMM_full_low": Lower 1σ uncertainty of T_CXO_XMM_full (units: keV)
    "T_CXO_XMM_full_high": Upper 1σ uncertainty of T_CXO_XMM_full (units: keV)
    "T_eRO_soft": eROSITA temperature in the 0.5-4 keV (soft) band (units: keV)
    "T_eRO_soft_low": Lower 1σ uncertainty of T_eRO_soft (units: keV)
    "T_eRO_soft_high": Upper 1σ uncertainty of T_eRO_soft (units: keV)
    "T_CXO_XMM_soft": Chandra or XMM-Newton temperature in the 0.5-4 keV band (units: keV)
    "T_CXO_XMM_soft_low": Lower 1σ uncertainty of T_CXO_XMM_soft (units: keV)
    "T_CXO_XMM_soft_high": Upper 1σ uncertainty of T_CXO_XMM_soft (units: keV)
    "T_eRO_hard": eROSITA temperature in the 1.5-7 keV (hard) band (units: keV)
    "T_eRO_hard_low": Lower 1σ uncertainty of T_eRO_hard (units: keV)
    "T_eRO_hard_high": Upper 1σ uncertainty of T_eRO_hard (units: keV)
    "T_CXO_XMM_hard": Chandra or XMM-Newton temperature in the 1.5-7 keV band (units: keV)
    "T_CXO_XMM_hard_low": Lower 1σ uncertainty of T_CXO_XMM_hard (units: keV)
    "T_CXO_XMM_hard_high": Upper 1σ uncertainty of T_CXO_XMM_hard (units: keV)
    "Z_full": Best-fit metal abundance used in determination of T_eRO_full (fixed Z_full) and was constrained simultaneously with T_CXO_XMM_full, where Z_full was free to vary (units: solar abundance Z_solar)
    "Z_soft": Same as Z_full but for T_eRO_soft and T_CXO_XMM_soft (units: solar abundance Z_solar)
    "Z_hard": Same as Z_full but for T_eRO_hard and T_CXO_XMM_hard (units: solar abundance Z_solar)
    "z": Redshift of cluster
    "R500": Apparent R500 cluster radius (units: arcminutes)
    "NHtot": Total hydrogen column density as given in Willingale et al. (2013) (units: 1/cm^2)
    "Glon": Galactic longitude (units: degrees)
    "Glat": Galactic latitude (units: degrees)
    "CXO_XMM_telescope": Telescope used for measuring T_CXO_XMM values


#Note: Some cluster regions appear twice, due to the temperature having been measured with both Chandra and XMM-Newton. In such cases, the eROSITA temperature might differ for the same cluster region, since different masks were used and different fraction of the region is covered by Chandra and XMM-Newton, with the former sometimes not covering the full 0.2-0.5 R500 annulus.   

#Cluster	Region	T_eRO_full	T_eRO_full_low	T_eRO_full_high	T_CXO_XMM_full	T_CXO_XMM_full_low	T_CXO_XMM_full_high	T_eRO_soft	T_eRO_soft_low	T_eRO_soft_high	T_CXO_XMM_soft	T_CXO_XMM_soft_low	T_CXO_XMM_soft_high	T_eRO_hard	T_eRO_hard_low	T_eRO_hard_high	T_CXO_XMM_hard	T_CXO_XMM_hard_low	T_CXO_XMM_hard_high	Z_full	Z_soft	Z_hard	z	R500	Nhtot	Glon	Glat	CXO_XMM_telescope
A1367	Core	2.973	0.423	0.627	3.505	0.007	0.007	2.869	0.377	0.585	3.720	0.029	0.029	4.148	1.278	4.462	3.297	0.025	0.025	0.508	0.597	0.467	0.021	34.765	1.890	235.084	73.015	Chandra
A1413	Annulus	6.515	2.705	5.783	8.730	0.291	0.207	-	-	-	9.412	0.343	0.359	2.747	0.995	3.132	8.456	0.324	0.333	0.363	0.628	0.381	0.143	7.926	1.970	226.185	76.785	Chandra
A1413	Core	4.553	0.895	1.463	8.407	0.092	0.119	4.794	1.095	2.004	8.909	0.228	0.227	3.801	1.178	2.554	7.552	0.179	0.188	0.514	0.698	0.507	0.143	7.926	1.970	226.185	76.785	Chandra
A1437	Annulus	6.445	2.514	5.038	7.923	0.531	0.421	4.949	1.712	3.685	8.809	0.835	0.941	-	-	-	6.816	0.547	0.727	0.346	0.180	0.434	0.134	7.600	2.290	273.601	63.262	Chandra
A1437	Core	-	-	-	10.188	0.880	1.154	4.829	2.075	5.365	12.219	1.823	3.376	2.047	0.759	3.215	8.029	0.995	1.331	0.462	0.413	0.462	0.134	7.600	2.290	273.601	63.262	Chandra
A1451	Annulus	9.203	3.905	9.181	7.540	0.726	0.675	9.702	3.868	13.621	6.845	0.367	0.400	-	-	-	8.354	0.628	0.698	0.269	0.000	0.300	0.199	5.952	4.480	288.266	39.974	XMM-Newton
A1553	Annulus	2.857	0.539	0.886	7.650	0.817	0.631	2.829	0.583	1.019	6.863	0.866	0.918	2.250	0.951	1.353	7.751	1.113	1.587	0.558	0.907	0.557	0.165	6.430	2.290	285.590	72.733	Chandra
A1553	Core	3.244	0.832	1.789	7.292	0.517	0.744	3.114	0.763	1.858	9.402	1.531	1.787	-	-	-	6.451	0.682	0.886	0.479	0.014	0.515	0.165	6.430	2.290	285.590	72.733	Chandra
A1631	Annulus	1.292	0.165	0.366	1.268	0.097	0.096	-	-	-	1.317	0.066	0.055	-	-	-	3.540	1.066	1.165	0.076	0.097	0.702	0.046	12.710	3.990	303.575	47.489	XMM-Newton
A1631	Core	-	-	-	-	-	-	0.828	0.052	0.050	0.899	0.006	0.006	-	-	-	2.363	0.270	0.367	-	0.296	0.937	0.046	12.710	3.990	303.575	47.489	XMM-Newton
A1644	Annulus	3.590	0.558	0.684	5.253	0.104	0.089	3.524	0.569	0.678	5.648	0.162	0.168	4.078	1.183	3.540	4.940	0.144	0.150	0.361	0.589	0.354	0.047	17.859	5.100	304.878	45.450	Chandra
A1644	Core	3.232	0.431	0.678	4.426	0.068	0.081	3.561	0.576	0.804	4.669	0.095	0.095	3.238	0.684	1.352	4.432	0.096	0.097	0.700	0.995	0.517	0.047	17.859	5.100	304.878	45.450	Chandra
A1648	Annulus	1.606	0.190	0.285	1.834	0.163	0.194	1.888	0.250	0.332	1.854	0.103	0.106	-	-	-	1.836	0.171	0.203	0.168	0.183	0.300	0.075	9.242	8.680	304.978	36.175	XMM-Newton
A1648	Core	2.574	0.690	1.710	2.553	0.153	0.153	3.042	0.968	4.485	2.880	0.158	0.173	1.445	0.492	1.208	2.420	0.165	0.179	-	0.417	0.300	0.075	9.242	8.680	304.978	36.175	XMM-Newton
A1650	Annulus	4.452	0.990	1.335	5.724	0.085	0.082	4.389	1.072	1.285	6.077	0.094	0.095	-	-	-	5.511	0.099	0.098	0.323	0.491	0.343	0.084	11.568	1.430	306.677	61.062	Chandra
A1650	Core	4.152	0.570	0.983	6.212	0.050	0.047	4.741	0.952	1.407	6.444	0.065	0.062	3.601	0.939	1.225	6.014	0.065	0.066	0.614	0.889	0.578	0.084	11.568	1.430	306.677	61.062	Chandra
A1651	Annulus	5.165	0.958	1.196	7.471	0.373	0.311	5.136	0.934	1.302	7.729	0.509	0.588	5.773	2.743	5.970	7.414	0.591	0.687	0.655	1.539	0.534	0.084	11.817	1.630	306.726	58.619	Chandra
A1651	Core	4.912	0.685	0.870	7.250	0.264	0.320	5.161	0.774	1.049	7.403	0.384	0.439	5.758	1.472	2.191	6.469	0.335	0.386	0.583	1.031	0.538	0.084	11.817	1.630	306.726	58.619	Chandra
A1668	Annulus	3.634	1.164	2.317	3.089	0.244	0.216	4.057	1.323	3.284	3.605	0.362	0.432	1.347	0.371	1.167	2.387	0.266	0.321	0.342	0.500	0.000	0.064	11.512	2.390	323.377	81.650	Chandra
A1668	Core	2.538	0.274	0.353	3.305	0.055	0.061	2.593	0.290	0.416	3.410	0.162	0.203	1.925	0.513	1.102	3.331	0.203	0.229	1.113	1.262	0.953	0.064	11.512	2.390	323.377	81.650	Chandra
A1689	Annulus	5.947	1.447	5.404	10.442	0.238	0.265	8.777	3.657	10.067	10.299	0.302	0.336	-	-	-	10.906	0.441	0.426	0.381	1.063	0.386	0.183	7.311	1.980	313.361	61.130	Chandra
A1689	Core	-	-	-	10.731	0.128	0.171	6.773	1.367	2.975	11.028	0.212	0.218	-	-	-	10.174	0.185	0.264	0.505	1.079	0.512	0.183	7.311	1.980	313.361	61.130	Chandra
A1736	Annulus	2.951	0.410	0.580	3.336	0.065	0.066	2.971	0.445	0.673	3.369	0.131	0.146	1.218	0.124	0.187	3.115	0.134	0.142	0.513	0.599	0.579	0.046	17.952	5.490	312.569	35.024	Chandra
A1736	Core	1.780	0.192	0.341	3.836	0.133	0.132	1.787	0.188	0.289	4.075	0.228	0.253	-	-	-	3.769	0.218	0.255	0.367	0.648	0.093	0.046	17.952	5.490	312.569	35.024	Chandra
A1750	Annulus	-	-	-	4.565	0.274	0.362	5.437	1.922	4.380	5.073	0.511	0.585	-	-	-	4.433	0.502	0.593	0.339	0.681	0.199	0.085	10.396	2.670	322.607	59.486	Chandra
A1750	Core	2.814	0.669	1.657	4.404	0.170	0.241	2.243	0.362	0.546	4.497	0.355	0.396	-	-	-	4.237	0.332	0.386	0.484	0.436	0.675	0.085	10.396	2.670	322.607	59.486	Chandra
A1835	Annulus	5.698	1.486	4.200	10.909	0.372	0.283	4.609	1.167	1.628	10.993	0.354	0.410	-	-	-	10.504	0.454	0.470	0.411	1.523	0.448	0.253	5.999	2.240	340.388	60.587	Chandra
A1835	Core	5.276	0.802	1.246	8.233	0.045	0.024	4.629	0.658	0.977	8.317	0.124	0.123	5.205	1.171	3.833	8.010	0.126	0.127	0.484	0.750	0.497	0.253	5.999	2.240	340.388	60.587	Chandra
A1837	Annulus	4.342	1.142	3.320	3.332	0.215	0.208	5.747	2.154	5.279	3.210	0.057	0.063	2.171	0.781	1.792	3.640	0.106	0.109	0.354	0.346	0.415	0.070	9.840	5.200	329.236	48.131	XMM-Newton
A1837	Core	4.784	1.193	2.971	4.022	0.057	0.057	4.343	1.158	3.796	3.623	0.052	0.056	-	-	-	3.988	0.082	0.083	-	0.575	0.576	0.070	9.840	5.200	329.236	48.131	XMM-Newton
A2717	Annulus	2.438	0.509	1.305	2.488	0.132	0.130	2.363	0.548	1.263	2.643	0.130	0.149	1.367	0.346	0.774	2.325	0.147	0.160	0.489	0.616	0.648	0.049	12.840	1.220	349.330	-76.490	Chandra
A2717	Core	2.294	0.254	0.419	2.679	0.037	0.048	2.427	0.302	0.393	2.732	0.082	0.094	1.023	0.220	0.228	2.594	0.087	0.097	0.798	0.853	0.892	0.049	12.840	1.220	349.330	-76.490	Chandra
A2721	Annulus	-	-	-	-	-	-	4.107	1.311	5.116	4.991	0.262	0.282	-	-	-	6.781	0.553	0.703	0.323	0.577	0.300	0.115	7.601	1.380	352.147	-77.668	XMM-Newton
A2721	Annulus	-	-	-	-	-	-	-	-	-	4.991	0.262	0.282	0.277	0.042	0.054	6.781	0.553	0.703	0.323	0.577	0.300	0.115	7.601	1.380	352.147	-77.668	XMM-Newton
A2721	Core	3.008	0.985	2.506	6.201	0.283	0.281	2.566	0.629	1.348	5.744	0.371	0.462	-	-	-	6.467	0.657	0.774	-	0.378	0.300	0.115	7.601	1.380	352.147	-77.668	XMM-Newton
A2837	Core	2.662	0.289	0.429	3.407	0.002	0.000	2.902	0.509	0.751	3.578	0.292	0.322	1.921	0.389	0.502	2.985	0.194	0.218	0.467	0.389	0.746	0.114	8.678	7.120	302.863	-36.862	Chandra
A2877	Annulus	2.371	0.364	0.653	3.284	0.149	0.150	2.336	0.332	0.550	3.389	0.181	0.187	-	-	-	3.294	0.198	0.224	0.446	0.501	0.510	0.024	21.698	1.980	293.051	-70.848	Chandra
A2877	Core	6.853	2.304	9.804	3.774	0.082	0.113	-	-	-	3.730	0.207	0.231	-	-	-	3.711	0.223	0.251	0.551	0.484	0.787	0.024	21.698	1.980	293.051	-70.848	Chandra
A2941	Annulus	3.170	0.745	1.210	5.855	0.468	0.443	3.005	0.775	1.453	5.457	0.211	0.229	-	-	-	6.104	0.288	0.377	0.488	0.313	0.520	0.121	7.635	2.910	285.500	-62.263	XMM-Newton
A3104	Annulus	3.296	0.670	0.977	3.089	0.252	0.257	3.164	0.602	0.964	2.989	0.112	0.122	-	-	-	3.250	0.182	0.207	0.414	0.414	0.576	0.072	10.553	2.030	255.328	-56.297	XMM-Newton
A3104	Core	3.019	0.358	0.500	3.181	0.060	0.056	2.670	0.292	0.427	3.044	0.054	0.061	4.305	1.157	3.472	3.320	0.082	0.084	-	0.733	0.648	0.072	10.553	2.030	255.328	-56.297	XMM-Newton
A3112	Annulus	5.069	1.000	1.558	5.486	0.133	0.128	4.402	0.806	1.226	5.377	0.149	0.151	-	-	-	5.405	0.181	0.196	0.387	0.287	0.456	0.075	13.184	1.380	252.935	-56.076	Chandra
A3112	Core	3.862	0.276	0.331	4.697	0.028	0.025	3.823	0.300	0.346	4.901	0.048	0.048	4.102	0.631	0.985	4.530	0.045	0.045	0.839	1.098	0.717	0.075	13.184	1.380	252.935	-56.076	Chandra
A3122	Annulus	5.280	1.627	2.535	4.073	0.313	0.298	5.326	1.606	2.828	3.914	0.119	0.126	-	-	-	4.365	0.245	0.240	0.282	0.261	0.281	0.064	10.491	1.570	247.581	-56.070	XMM-Newton
A3122	Core	5.436	1.949	4.934	5.140	0.135	0.134	5.727	2.031	3.516	4.806	0.177	0.192	2.321	0.782	1.562	5.723	0.309	0.345	-	0.519	0.548	0.064	10.491	1.570	247.581	-56.070	XMM-Newton
A3126	Annulus	4.934	1.047	1.934	5.087	0.377	0.364	4.592	0.914	1.466	5.017	0.553	0.634	4.535	1.444	6.950	5.011	0.578	0.762	0.415	0.518	0.344	0.085	9.628	1.620	269.309	-49.884	Chandra
A3126	Core	4.266	0.690	1.047	5.648	0.283	0.328	3.767	0.602	0.771	5.032	0.416	0.503	-	-	-	5.503	0.518	0.546	0.537	0.217	0.580	0.085	9.628	1.620	269.309	-49.884	Chandra
A3128	Annulus	2.995	0.541	0.894	3.823	0.358	0.351	2.912	0.541	0.812	4.324	0.482	0.564	-	-	-	3.625	0.487	0.701	0.589	0.923	0.061	0.062	12.245	1.530	264.801	-51.124	Chandra
A3128	Core	3.546	0.629	0.868	3.730	0.355	0.321	3.168	0.538	0.759	3.511	0.349	0.403	-	-	-	3.769	0.426	0.508	0.751	0.782	0.309	0.062	12.245	1.530	264.801	-51.124	Chandra
A3140	Annulus	2.589	0.439	0.700	6.675	0.694	0.615	2.713	0.506	0.677	6.412	0.846	1.117	1.365	0.249	0.345	5.338	0.605	0.747	0.275	0.501	0.340	0.173	6.149	1.440	245.471	-53.611	Chandra
A3140	Core	5.760	1.149	1.970	5.600	0.211	0.200	5.757	1.186	1.936	5.547	0.430	0.461	4.280	1.190	2.691	5.514	0.403	0.463	0.611	0.201	0.705	0.173	6.149	1.440	245.471	-53.611	Chandra
A3158	Annulus	3.654	0.315	0.381	5.417	0.089	0.078	-	-	-	5.541	0.117	0.117	3.191	0.537	0.866	5.374	0.123	0.139	0.517	0.670	0.501	0.059	15.581	1.400	265.052	-48.935	Chandra
A3266	Annulus	5.267	0.360	0.388	9.919	0.248	0.265	6.116	0.480	0.601	9.940	0.358	0.385	4.706	0.714	0.872	9.401	0.367	0.410	0.340	1.049	0.322	0.059	16.806	1.720	272.127	-40.135	Chandra
A3266	Core	7.412	1.138	1.413	9.997	0.239	0.203	8.329	1.637	1.863	9.826	0.340	0.351	8.115	2.440	2.320	9.727	0.404	0.412	0.512	1.649	0.449	0.059	16.806	1.720	272.127	-40.135	Chandra
A3301	Annulus	3.147	0.705	1.210	4.057	0.327	0.326	2.856	0.512	0.953	4.225	0.252	0.168	-	-	-	5.075	0.669	0.370	0.301	0.308	0.305	0.054	12.009	2.230	242.415	-37.413	XMM-Newton
A3301	Core	4.327	0.982	1.712	4.673	0.144	0.151	3.956	1.059	1.581	4.673	0.153	0.160	-	-	-	5.157	0.441	0.372	-	0.578	0.546	0.054	12.009	2.230	242.415	-37.413	XMM-Newton
A3341	Annulus	2.669	0.435	0.713	3.415	0.344	0.306	2.575	0.373	0.644	2.772	0.279	0.327	-	-	-	2.803	0.437	0.442	0.546	0.347	0.284	0.038	15.869	1.590	235.171	-31.091	Chandra
A3341	Core	2.304	0.208	0.286	2.757	0.168	0.162	2.340	0.243	0.303	2.843	0.181	0.191	2.110	0.549	0.947	2.562	0.182	0.207	0.680	0.849	0.355	0.038	15.869	1.590	235.171	-31.091	Chandra
A3364	Annulus	4.436	1.133	2.343	7.799	0.526	0.517	4.355	1.112	2.222	7.319	0.698	0.817	-	-	-	8.639	1.072	1.339	0.212	0.711	0.164	0.148	7.147	2.270	236.934	-26.646	Chandra
A3364	Core	3.405	0.705	1.343	7.510	0.403	0.615	2.887	0.485	0.758	6.954	0.576	0.597	-	-	-	7.747	0.638	0.823	0.388	0.313	0.414	0.148	7.147	2.270	236.934	-26.646	Chandra
A3376	Annulus	3.670	0.484	0.630	5.891	0.212	0.234	3.620	0.469	0.601	6.284	0.342	0.359	2.758	0.799	1.371	6.511	0.476	0.525	0.743	1.273	0.679	0.047	15.842	5.840	246.519	-26.084	Chandra
A3376	Core	3.413	0.571	0.924	4.988	0.125	0.192	3.614	0.700	1.164	5.055	0.238	0.245	3.236	1.216	2.088	5.007	0.262	0.286	0.626	0.745	0.459	0.047	15.842	5.840	246.519	-26.084	Chandra
A3378	Annulus	2.703	0.459	0.863	5.800	0.810	0.420	2.766	0.506	1.021	5.577	0.692	0.829	-	-	-	4.794	0.517	0.615	0.396	0.117	0.590	0.148	7.545	4.820	241.785	-24.012	Chandra
A3378	Core	4.073	0.763	0.976	4.946	0.162	0.178	4.219	0.835	1.167	5.399	0.403	0.462	4.406	1.404	6.476	4.988	0.344	0.391	0.544	1.035	0.548	0.148	7.545	4.820	241.785	-24.012	Chandra
A3391	Annulus	5.438	0.826	1.039	5.893	0.237	0.257	5.650	0.889	1.397	5.842	0.360	0.408	3.894	1.140	1.619	5.562	0.370	0.431	0.341	0.330	0.363	0.051	14.919	7.590	262.377	-25.149	Chandra
A3391	Core	5.038	0.775	1.088	6.692	0.326	0.426	-	-	-	6.638	0.484	0.533	4.284	1.250	1.941	6.462	0.481	0.555	0.640	0.748	0.585	0.051	14.919	7.590	262.377	-25.149	Chandra
A3392	Annulus	1.720	0.240	0.544	2.095	0.308	0.232	1.719	0.236	0.473	2.282	0.280	0.389	-	-	-	1.377	0.303	0.341	0.306	0.397	0.000	0.043	12.763	7.960	243.456	-19.963	Chandra
A3392	Core	2.752	0.313	0.463	3.801	0.135	0.248	-	-	-	-	-	-	-	-	-	-	-	-	0.479	-	-	0.043	12.763	7.960	243.456	-19.963	Chandra
A3396	Annulus	3.570	0.705	1.313	5.145	0.479	0.448	3.648	0.903	2.173	4.495	0.249	0.278	2.696	1.000	2.485	5.792	0.475	0.551	0.507	0.273	0.511	0.176	6.085	6.950	249.893	-21.649	XMM-Newton
A3396	Core	3.622	0.893	1.718	5.888	0.245	0.246	4.238	1.386	2.251	5.164	0.197	0.211	2.540	0.851	2.138	5.964	0.296	0.314	-	0.462	0.635	0.176	6.085	6.950	249.893	-21.649	XMM-Newton
A3404	Annulus	8.142	1.891	4.077	9.350	0.980	0.820	7.232	1.977	2.555	12.891	1.750	3.337	7.677	3.607	4.882	7.625	0.960	1.967	0.151	0.000	0.119	0.167	7.109	7.620	263.670	-22.546	Chandra
A3404	Core	11.245	3.534	10.844	9.209	0.697	1.083	9.132	2.305	6.631	9.194	1.064	1.269	-	-	-	9.299	0.984	1.134	0.452	0.701	0.431	0.167	7.109	7.620	263.670	-22.546	Chandra
A3444	Annulus	-	-	-	8.130	0.550	0.610	5.418	1.964	5.929	7.930	0.627	0.690	2.299	0.735	1.558	7.782	0.783	0.923	0.576	0.949	0.662	0.260	5.389	6.970	266.827	25.078	Chandra
A3444	Core	4.528	1.072	1.617	6.383	0.139	0.151	5.204	1.560	2.201	6.413	0.225	0.255	4.073	1.181	2.940	5.993	0.226	0.249	0.369	0.407	0.384	0.260	5.389	6.970	266.827	25.078	Chandra
A3490	Annulus	2.406	0.372	0.648	4.784	0.389	0.369	2.230	0.365	0.632	3.927	0.145	0.144	1.277	0.153	1.234	4.132	0.159	0.225	0.372	0.269	0.330	0.070	10.194	9.690	287.732	26.484	XMM-Newton
A3490	Core	4.160	1.240	1.801	4.424	0.123	0.126	3.518	0.911	1.915	3.909	0.124	0.128	-	-	-	4.802	0.212	0.236	-	0.312	0.504	0.070	10.194	9.690	287.732	26.484	XMM-Newton
A3497	Annulus	2.113	0.393	0.653	2.660	0.250	0.206	2.159	0.349	0.573	2.804	0.181	0.210	0.813	0.272	0.253	3.117	0.418	0.553	0.168	0.278	0.302	0.068	10.201	6.900	290.256	30.199	XMM-Newton
A3497	Core	1.424	0.103	0.140	2.089	0.042	0.041	1.434	0.099	0.145	1.924	0.065	0.093	-	-	-	2.762	0.274	0.242	-	0.334	0.224	0.068	10.201	6.900	290.256	30.199	XMM-Newton
A3526	Annulus	2.948	0.153	0.167	3.401	0.041	0.043	2.947	0.158	0.172	3.792	0.047	0.047	2.992	0.225	0.637	3.278	0.051	0.052	0.436	0.612	0.511	0.009	59.084	12.200	302.399	21.561	Chandra
A3526	Core	3.251	0.102	0.106	2.707	0.011	0.009	3.296	0.108	0.110	2.707	0.011	0.009	3.023	0.228	0.271	2.707	0.011	0.009	1.131	-	-	0.009	59.084	12.200	302.399	21.561	Chandra
A3528N	Annulus	4.393	1.151	3.528	5.143	0.517	0.431	4.534	1.235	3.930	5.049	0.572	0.716	-	-	-	4.265	0.450	0.599	0.268	0.089	0.699	0.054	12.679	8.150	303.709	33.845	Chandra
A3528N	Core	4.407	0.842	1.332	4.200	0.131	0.170	4.398	0.935	1.425	4.260	0.306	0.354	2.782	0.793	1.801	4.234	0.298	0.363	0.768	0.783	0.807	0.054	12.679	8.150	303.709	33.845	Chandra
A3528S	Annulus	2.804	0.483	0.864	4.316	0.384	0.318	2.690	0.436	0.703	4.872	0.603	0.748	2.174	0.680	1.672	3.832	0.439	0.553	0.391	0.535	0.381	0.054	13.949	8.230	303.784	33.643	Chandra
A3530	Annulus	2.613	0.523	0.936	3.139	0.241	0.229	2.539	0.461	0.723	3.015	0.145	0.183	-	-	-	3.801	0.278	0.293	0.289	0.330	0.278	0.054	12.730	8.030	303.991	32.533	XMM-Newton
A3532	Annulus	9.127	2.383	5.350	4.627	0.254	0.281	7.320	1.752	2.834	4.489	0.365	0.402	-	-	-	4.292	0.372	0.436	0.705	0.689	0.831	0.055	14.252	8.440	304.426	32.478	Chandra
A3532	Core	3.409	0.782	1.122	5.260	0.214	0.313	3.389	0.812	1.146	6.328	0.616	0.705	3.640	1.315	4.691	4.790	0.372	0.420	0.295	0.828	0.266	0.055	14.252	8.440	304.426	32.478	Chandra
A3541	Annulus	-	-	-	5.122	0.075	0.074	7.829	3.972	9.842	5.706	0.165	0.176	-	-	-	4.575	0.109	0.136	0.287	0.444	0.335	0.129	7.830	13.200	306.515	38.535	Chandra
A3541	Core	3.008	0.460	0.644	3.785	0.032	0.034	3.056	0.511	0.747	3.944	0.046	0.046	2.451	0.527	0.903	3.798	0.046	0.046	0.523	0.681	0.452	0.129	7.830	13.200	306.515	38.535	Chandra
A3558	Annulus	5.704	0.777	1.021	5.831	0.164	0.155	5.718	0.767	1.160	5.651	0.221	0.226	4.078	0.872	1.117	6.689	0.348	0.352	0.334	0.522	0.225	0.048	19.501	4.840	311.987	30.726	Chandra
A3558	Core	4.689	0.451	0.508	7.221	0.135	0.100	4.939	0.530	0.652	7.073	0.191	0.189	2.915	0.469	0.586	6.947	0.228	0.235	0.001	0.964	0.842	0.048	19.501	4.840	311.987	30.726	Chandra
A3558B	Annulus	2.343	0.330	0.513	3.609	0.156	0.142	2.337	0.358	0.569	4.053	0.247	0.273	1.635	0.408	0.819	3.152	0.184	0.217	0.302	0.456	0.410	0.049	14.534	4.620	312.396	30.565	Chandra
A3558B	Core	5.660	1.795	2.383	3.730	0.134	0.127	3.744	0.905	2.288	3.869	0.216	0.227	-	-	-	3.564	0.191	0.225	0.668	0.749	0.695	0.049	14.534	4.620	312.396	30.565	Chandra
A3558C	Annulus	2.340	0.432	0.831	3.986	0.221	0.203	2.242	0.396	0.699	4.217	0.369	0.409	0.871	0.155	0.184	4.381	0.455	0.602	0.702	0.939	0.429	0.045	12.387	4.460	312.796	30.287	Chandra
A3558C	Core	2.367	0.435	0.872	3.122	0.135	0.144	2.364	0.449	0.940	3.516	0.272	0.313	-	-	-	2.903	0.210	0.250	0.557	0.790	0.277	0.045	12.387	4.460	312.796	30.287	Chandra
A3560	Annulus	2.397	0.311	0.498	3.594	0.180	0.191	2.368	0.339	0.573	3.723	0.249	0.279	-	-	-	3.252	0.255	0.275	0.328	0.399	0.414	0.049	14.439	5.160	312.721	28.953	Chandra
A3560	Core	3.635	0.626	1.407	3.884	0.201	0.145	3.944	0.890	1.845	4.012	0.206	0.204	1.720	0.384	0.668	3.868	0.310	0.229	0.546	0.583	0.485	0.049	14.439	5.160	312.721	28.953	Chandra
A3562	Annulus	3.429	0.498	0.630	5.104	0.150	0.150	3.633	0.600	0.854	6.091	0.326	0.318	3.152	0.981	1.466	5.027	0.286	0.330	0.425	1.245	0.392	0.049	16.102	4.470	313.329	30.358	Chandra
A3562	Core	4.037	0.615	0.862	5.017	0.120	0.141	3.903	0.582	0.847	5.438	0.216	0.249	3.238	0.885	2.271	4.763	0.204	0.222	0.727	1.145	0.626	0.049	16.102	4.470	313.329	30.358	Chandra
A3570	Annulus	1.591	0.166	0.240	2.050	0.166	0.164	1.573	0.165	0.219	1.964	0.082	0.084	-	-	-	2.198	0.144	0.186	0.345	0.340	0.881	0.038	13.792	6.370	314.850	23.711	XMM-Newton
A3570	Core	2.104	0.588	0.965	2.293	0.137	0.144	1.975	0.731	1.585	2.380	0.101	0.124	-	-	-	2.325	0.072	0.163	-	0.498	0.660	0.038	13.792	6.370	314.850	23.711	XMM-Newton
A3571	Annulus	5.172	0.451	0.484	7.362	0.158	0.171	5.092	0.519	0.482	7.287	0.197	0.209	5.165	0.953	1.260	7.599	0.252	0.277	0.597	0.922	0.570	0.039	24.793	5.080	316.320	28.561	Chandra
A3571	Core	5.425	0.484	0.528	8.177	0.067	0.066	5.739	0.614	0.583	8.374	0.111	0.110	4.390	0.688	0.989	7.729	0.128	0.126	0.739	1.354	0.618	0.039	24.793	5.080	316.320	28.561	Chandra
A3581	Annulus	1.739	0.152	0.180	1.703	0.036	0.026	1.676	0.127	0.161	1.655	0.044	0.043	2.723	1.171	4.668	1.399	0.113	0.120	0.313	0.303	0.153	0.023	25.823	5.320	323.139	32.856	Chandra
A3638	Annulus	-	-	-	-	-	-	3.823	1.512	5.564	2.746	0.132	0.140	-	-	-	2.839	0.201	0.223	0.260	0.429	0.152	0.080	9.631	7.360	355.356	-24.025	XMM-Newton
A3638	Core	2.500	0.393	0.648	2.615	0.053	0.048	2.751	0.500	0.770	2.562	0.051	0.058	2.498	0.783	1.866	2.701	0.079	0.086	-	0.571	0.322	0.080	9.631	7.360	355.356	-24.025	XMM-Newton
A3651	Annulus	2.063	0.222	0.411	5.815	0.465	0.397	2.043	0.232	0.363	6.462	0.778	0.891	1.272	0.372	0.726	4.610	0.468	0.574	0.417	0.527	0.580	0.060	11.334	4.720	342.826	-30.499	Chandra
A3651	Core	6.839	2.542	7.654	6.681	0.600	0.719	5.314	1.905	4.882	7.208	0.951	1.184	-	-	-	6.099	0.783	0.978	0.922	1.444	0.791	0.060	11.334	4.720	342.826	-30.499	Chandra
A3653	Annulus	4.848	2.166	7.366	4.732	0.499	0.412	-	-	-	4.147	0.403	0.463	1.857	0.722	2.129	5.498	0.888	1.103	0.529	0.449	0.384	0.107	7.889	4.990	346.337	-30.320	Chandra
