The column name description is given below:

    "Cluster": Name of the galaxy cluster
    "Region": Region of the cluster (Annulus or Core) which we study and within which we measure the temperatures. Annulus refers to 0.2-0.5 R500 and Core to <0.2 R500.
    "T_eRO_full": eROSITA temperature in the 0.7-7 keV (full) band (units: keV)
    "T_eRO_full_low": Lower 1σ uncertainty of T_eRO_full (units: keV)
    "T_eRO_full_high": Upper 1σ uncertainty of T_eRO_full (units: keV)
    "T_CXO_XMM_full": Chandra or XMM-Newton temperature (depends on the used instrument, see last column) in the 0.7-7 keV band (units: keV)
    "T_CXO_XMM_full_low": Lower 1σ uncertainty of T_CXO_XMM_full (units: keV)
    "T_CXO_XMM_full_high": Upper 1σ uncertainty of T_CXO_XMM_full (units: keV)
    "T_eRO_soft": eROSITA temperature in the 0.5-4 keV (soft) band (units: keV)
    "T_eRO_soft_low": Lower 1σ uncertainty of T_eRO_soft (units: keV)
    "T_eRO_soft_high": Upper 1σ uncertainty of T_eRO_soft (units: keV)
    "T_CXO_XMM_soft": Chandra or XMM-Newton temperature in the 0.5-4 keV band (units: keV)
    "T_CXO_XMM_soft_low": Lower 1σ uncertainty of T_CXO_XMM_soft (units: keV)
    "T_CXO_XMM_soft_high": Upper 1σ uncertainty of T_CXO_XMM_soft (units: keV)
    "T_eRO_hard": eROSITA temperature in the 1.5-7 keV (hard) band (units: keV)
    "T_eRO_hard_low": Lower 1σ uncertainty of T_eRO_hard (units: keV)
    "T_eRO_hard_high": Upper 1σ uncertainty of T_eRO_hard (units: keV)
    "T_CXO_XMM_hard": Chandra or XMM-Newton temperature in the 1.5-7 keV band (units: keV)
    "T_CXO_XMM_hard_low": Lower 1σ uncertainty of T_CXO_XMM_hard (units: keV)
    "T_CXO_XMM_hard_high": Upper 1σ uncertainty of T_CXO_XMM_hard (units: keV)
    "Z_full": Best-fit metal abundance used in determination of T_eRO_full (fixed Z_full) and was constrained simultaneously with T_CXO_XMM_full, where Z_full was free to vary (units: solar abundance Z_solar)
    "Z_soft": Same as Z_full but for T_eRO_soft and T_CXO_XMM_soft (units: solar abundance Z_solar)
    "Z_hard": Same as Z_full but for T_eRO_hard and T_CXO_XMM_hard (units: solar abundance Z_solar)
    "z": Redshift of cluster
    "R500": Apparent R500 cluster radius (units: arcminutes)
    "NHtot": Total hydrogen column density as given in Willingale et al. (2013) (units: 1/cm^2)
    "Glon": Galactic longitude (units: degrees)
    "Glat": Galactic latitude (units: degrees)
    "CXO_XMM_telescope": Telescope used for measuring T_CXO_XMM values


#Note: Some cluster regions appear twice, due to the temperature having been measured with both Chandra and XMM-Newton. In such cases, the eROSITA temperature might differ for the same cluster region, since different masks were used and different fraction of the region is covered by Chandra and XMM-Newton, with the former sometimes not covering the full 0.2-0.5 R500 annulus.   

#Cluster	Region	T_eRO_full	T_eRO_full_low	T_eRO_full_high	T_CXO_XMM_full	T_CXO_XMM_full_low	T_CXO_XMM_full_high	T_eRO_soft	T_eRO_soft_low	T_eRO_soft_high	T_CXO_XMM_soft	T_CXO_XMM_soft_low	T_CXO_XMM_soft_high	T_eRO_hard	T_eRO_hard_low	T_eRO_hard_high	T_CXO_XMM_hard	T_CXO_XMM_hard_low	T_CXO_XMM_hard_high	Z_full	Z_soft	Z_hard	z	R500	Nhtot	Glon	Glat	CXO_XMM_telescope
A0545	Annulus	4.888	1.482	2.669	8.110	0.361	0.377	4.242	1.376	2.083	7.644	0.581	0.688	-	-	-	7.348	0.612	0.721	0.179	0.055	0.200	0.154	7.113	16.300	214.598	-22.706	Chandra
A0545	Core	5.327	1.614	5.812	8.109	0.275	0.340	3.923	1.350	2.106	8.377	0.479	0.542	-	-	-	7.377	0.441	0.471	0.387	0.456	0.383	0.154	7.113	16.300	214.598	-22.706	Chandra
A0548E	Annulus	4.422	1.275	2.160	3.357	0.300	0.247	3.941	0.963	1.815	3.431	0.276	0.336	-	-	-	3.362	0.344	0.371	0.433	0.487	0.115	0.042	15.597	1.630	230.259	-24.417	Chandra
A0548E	Core	2.485	0.443	0.830	3.261	0.133	0.124	2.508	0.473	0.925	3.759	0.326	0.374	-	-	-	3.090	0.252	0.281	0.658	0.975	0.306	0.042	15.597	1.630	230.259	-24.417	Chandra
A0550	Annulus	4.577	1.317	2.770	6.596	0.483	0.479	4.891	1.567	3.063	7.610	0.867	1.184	2.817	1.035	1.935	5.618	0.566	0.690	0.203	0.303	0.176	0.099	9.189	4.870	226.158	-21.948	Chandra
A0550	Core	3.488	0.724	1.264	5.752	0.273	0.426	3.693	0.838	1.481	5.822	0.570	0.714	-	-	-	5.140	0.420	0.512	0.482	0.183	0.600	0.099	9.189	4.870	226.158	-21.948	Chandra
A0586	Annulus	2.446	0.560	1.273	7.045	0.275	0.230	2.469	0.576	1.287	6.810	0.275	0.390	1.662	0.567	2.065	6.876	0.328	0.340	0.279	0.000	0.365	0.171	6.615	5.840	187.538	21.947	Chandra
A0586	Annulus	3.241	1.070	3.979	5.120	0.186	0.155	3.431	1.235	3.399	5.183	0.282	0.329	1.448	0.400	1.466	6.299	0.569	0.771	0.363	-	0.384	0.171	6.615	5.840	187.538	21.947	XMM-Newton
A0586	Core	6.120	2.078	6.342	6.402	0.138	0.159	-	-	-	5.889	0.175	0.179	-	-	-	7.623	0.320	0.377	-	0.396	0.358	0.171	6.615	5.840	187.538	21.947	XMM-Newton
A0602	Annulus	2.573	0.690	1.245	3.332	0.330	0.269	3.856	1.036	1.721	3.128	0.121	0.154	0.768	0.279	0.330	3.451	0.189	0.180	0.331	0.314	0.255	0.062	10.840	3.990	191.463	25.517	XMM-Newton
A0602	Core	1.822	0.322	0.692	2.941	0.124	0.132	1.544	0.235	0.481	2.799	0.099	0.107	-	-	-	2.850	0.122	0.159	-	0.452	0.574	0.062	10.840	3.990	191.463	25.517	XMM-Newton
A0602	Core	-	-	-	-	-	-	-	-	-	2.799	0.099	0.107	0.182	0.036	0.023	2.850	0.122	0.159	-	0.452	0.574	0.062	10.840	3.990	191.463	25.517	XMM-Newton
A0697	Annulus	-	-	-	14.527	1.579	1.851	-	-	-	10.825	0.997	1.275	3.236	1.246	5.217	12.740	1.708	2.601	0.518	4.390	0.466	0.282	4.911	3.280	186.363	37.261	Chandra
A0697	Core	4.152	1.143	2.290	10.448	0.621	0.567	4.822	1.545	4.701	9.795	0.995	1.210	2.644	1.001	4.226	10.948	1.047	1.521	0.668	0.926	0.654	0.282	4.911	3.280	186.363	37.261	Chandra
A0761	Annulus	2.893	0.766	2.034	4.111	0.385	0.356	-	-	-	-	-	-	-	-	-	2.969	0.182	0.282	0.366	-	0.160	0.091	8.428	5.490	240.373	24.548	XMM-Newton
A0761	Core	2.429	0.495	1.279	4.517	0.291	0.333	2.483	0.618	2.159	4.166	0.384	0.430	-	-	-	3.712	0.295	0.483	-	0.376	0.138	0.091	8.428	5.490	240.373	24.548	XMM-Newton
A0780	Annulus	2.866	0.494	0.789	3.847	0.017	0.027	2.659	0.394	0.626	3.610	0.041	0.044	4.566	2.469	3.022	4.011	0.065	0.066	0.334	0.273	0.300	0.054	16.934	5.530	242.926	25.097	Chandra
A0780	Core	2.726	0.208	0.281	3.675	0.010	0.009	2.903	0.269	0.337	3.636	0.016	0.016	2.570	0.458	0.475	3.706	0.036	0.105	0.510	0.501	0.415	0.054	16.934	5.530	242.926	25.097	Chandra
A0795	Annulus	3.006	0.909	2.297	5.396	0.343	0.283	2.512	0.635	1.161	4.845	0.324	0.371	-	-	-	5.207	0.534	0.576	0.256	0.021	0.460	0.136	7.315	3.620	217.084	40.152	Chandra
A0795	Core	4.319	1.171	2.160	4.597	0.114	0.161	3.875	1.069	1.777	4.682	0.191	0.197	-	-	-	4.566	0.217	0.267	0.481	0.645	0.406	0.136	7.315	3.620	217.084	40.152	Chandra
A0907	Annulus	6.468	2.643	8.922	6.820	0.210	0.150	4.976	1.802	4.024	7.456	0.363	0.372	-	-	-	6.263	0.307	0.333	0.471	1.001	0.522	0.164	6.683	6.670	249.368	33.268	Chandra
A0907	Core	4.191	0.940	1.626	5.771	0.098	0.099	3.236	0.584	0.953	6.154	0.141	0.154	-	-	-	5.410	0.125	0.125	0.657	0.992	0.663	0.164	6.683	6.670	249.368	33.268	Chandra
A0957	Annulus	2.261	0.386	0.855	2.857	0.214	0.175	2.213	0.325	0.614	2.983	0.277	0.317	0.967	0.191	0.232	2.634	0.293	0.346	0.403	0.525	0.112	0.045	13.822	3.870	242.902	42.840	Chandra
